mmsi,vessel_name,timestamp_utc_plus8,latitude,longitude,sog_knots,cog_deg,heading_deg,nav_status,position_accuracy,synthetic_track_id,behavior_class,data_source,case_reference,ais_window,reference_vessel,provenance_note
413000105,SYNTH_TANKER_05,2021-10-09T14:00:59+08:00,24.147233,120.391985,11.1,280.18,282.24,under_way_using_engine,high,SYN-06,cross_track,SYNTHETIC,Taichung Port / Sentinel-1 / 2021-10-09,2021-10-09 11:01–18:01 UTC+8,TAIHANG118 / MMSI 412065000,Synthetic AIS for MVP demonstration; not historical AIS.
413000101,SYNTH_TANKER_01,2021-10-09T16:21:00+08:00,24.118042,120.251194,12.19,44.53,46.95,under_way_using_engine,high,SYN-02,nearby_wrong_timing,SYNTHETIC,Taichung Port / Sentinel-1 / 2021-10-09,2021-10-09 11:01–18:01 UTC+8,TAIHANG118 / MMSI 412065000,Synthetic AIS for MVP demonstration; not historical AIS.
413000103,SYNTH_TUG_03,2021-10-09T16:50:59+08:00,24.214649,120.327732,8.74,228.48,225.53,under_way_using_engine,high,SYN-04,moving_away,SYNTHETIC,Taichung Port / Sentinel-1 / 2021-10-09,2021-10-09 11:01–18:01 UTC+8,TAIHANG118 / MMSI 412065000,Synthetic AIS for MVP demonstration; not historical AIS.
412065000,TAIHANG118,2021-10-09T11:51:00+08:00,24.108524,120.170445,10.88,61.06,59.49,under_way_using_engine,high,SYN-01,toward_spill_then_pass,SYNTHETIC,Taichung Port / Sentinel-1 / 2021-10-09,2021-10-09 11:01–18:01 UTC+8,TAIHANG118 / MMSI 412065000,Synthetic AIS for MVP demonstration; not historical AIS.
413000103,SYNTH_TUG_03,2021-10-09T12:41:00+08:00,24.229111,120.34727,8.6,224.31,222.83,under_way_using_engine,high,SYN-04,moving_away,SYNTHETIC,Taichung Port / Sentinel-1 / 2021-10-09,2021-10-09 11:01–18:01 UTC+8,TAIHANG118 / MMSI 412065000,Synthetic AIS for MVP demonstration; not historical AIS.
413000105,SYNTH_TANKER_05,2021-10-09T11:31:00+08:00,24.145348,120.40286,10.78,285.64,285.86,under_way_using_engine,high,SYN-06,cross_track,SYNTHETIC,Taichung Port / Sentinel-1 / 2021-10-09,2021-10-09 11:01–18:01 UTC+8,TAIHANG118 / MMSI 412065000,Synthetic AIS for MVP demonstration; not historical AIS.
413000103,SYNTH_TUG_03,2021-10-09T16:31:00+08:00,24.215811,120.329234,8.47,227.87,231.31,under_way_using_engine,high,SYN-04,moving_away,SYNTHETIC,Taichung Port / Sentinel-1 / 2021-10-09,2021-10-09 11:01–18:01 UTC+8,TAIHANG118 / MMSI 412065000,Synthetic AIS for MVP demonstration; not historical AIS.
413000102,SYNTH_CARGO_02,2021-10-09T17:51:00+08:00,24.11471,120.335459,8.77,322.13,323.06,under_way_using_engine,high,SYN-03,parallel,SYNTHETIC,Taichung Port / Sentinel-1 / 2021-10-09,2021-10-09 11:01–18:01 UTC+8,TAIHANG118 / MMSI 412065000,Synthetic AIS for MVP demonstration; not historical AIS.
413000103,SYNTH_TUG_03,2021-10-09T11:21:00+08:00,24.233888,120.353368,8.69,225.3,227.26,under_way_using_engine,high,SYN-04,moving_away,SYNTHETIC,Taichung Port / Sentinel-1 / 2021-10-09,2021-10-09 11:01–18:01 UTC+8,TAIHANG118 / MMSI 412065000,Synthetic AIS for MVP demonstration; not historical AIS.
413000107,SYNTH_CARGO_07,2021-10-09T12:21:00+08:00,24.270606,120.206526,8.06,158.11,160.17,under_way_using_engine,high,SYN-08,wrong_heading,SYNTHETIC,Taichung Port / Sentinel-1 / 2021-10-09,2021-10-09 11:01–18:01 UTC+8,TAIHANG118 / MMSI 412065000,Synthetic AIS for MVP demonstration; not historical AIS.
413000106,SYNTH_CONTAINER_06,2021-10-09T12:11:00+08:00,24.020763,120.081988,14.79,68.64,69.63,under_way_using_engine,high,SYN-07,approaches_late,SYNTHETIC,Taichung Port / Sentinel-1 / 2021-10-09,2021-10-09 11:01–18:01 UTC+8,TAIHANG118 / MMSI 412065000,Synthetic AIS for MVP demonstration; not historical AIS.
